iter	Passed	Remaining
285	3005	7502
286	3013	7486
287	3023	7473
288	3031	7458
289	3039	7442
290	3048	7426
291	3056	7411
292	3066	7398
293	3074	7383
294	3084	7371
295	3093	7356
296	3101	7342
297	3110	7327
298	3119	7312
299	3127	7298
300	3136	7284
301	3144	7268
302	3153	7254
303	3163	7242
304	3171	7226
305	3179	7211
306	3188	7196
307	3197	7183
308	3206	7169
309	3215	7156
310	3227	7149
311	3236	7137
312	3245	7123
313	3255	7111
314	3264	7098
315	3272	7083
316	3281	7070
317	3289	7055
318	3301	7047
319	3310	7034
320	3318	7019
321	3327	7006
322	3335	6991
323	3343	6976
324	3353	6964
325	3361	6950
326	3370	6935
327	3378	6922
328	3387	6908
329	3395	6893
330	3403	6879
331	3411	6864
332	3419	6849
333	3431	6842
334	3440	6829
335	3449	6817
336	3458	6804
337	3467	6792
338	3476	6779
339	3486	6767
340	3494	6754
341	3504	6741
342	3513	6729
343	3524	6720
344	3534	6710
345	3544	6699
346	3553	6687
347	3562	6673
348	3572	6663
349	3581	6652
350	3591	6641
351	3599	6627
352	3608	6614
353	3618	6602
354	3627	6589
355	3636	6578
356	3645	6566
357	3654	6554
358	3663	6541
359	3673	6531
360	3682	6518
361	3691	6506
362	3700	6492
363	3708	6479
364	3716	6465
365	3724	6451
366	3735	6443
367	3744	6430
368	3752	6416
369	3760	6402
370	3768	6389
371	3777	6376
372	3786	6364
373	3793	6350
374	3801	6336
375	3809	6322
376	3818	6309
377	3826	6296
378	3834	6283
379	3842	6269
380	3850	6256
381	3858	6242
382	3866	6228
383	3874	6216
384	3882	6201
385	3890	6189
386	3899	6176
387	3908	6165
388	3917	6153
389	3926	6141
390	3935	6129
391	3944	6117
392	3953	6105
393	3961	6093
394	3970	6081
395	3979	6069
396	3987	6056
397	3995	6044
398	4003	6031
399	4012	6019
400	4021	6006
401	4030	5995
402	4040	5985
403	4048	5973
404	4059	5963
405	4068	5952
406	4076	5938
407	4084	5926
408	4093	5915
409	4101	5902
410	4110	5890
411	4120	5880
412	4129	5868
413	4137	5856
414	4145	5844
415	4154	5832
416	4164	5821
417	4173	5810
418	4181	5798
419	4189	5785
420	4198	5774
421	4206	5762
422	4215	5749
423	4223	5738
424	4232	5726
425	4241	5715
426	4250	5703
427	4258	5691
428	4267	5679
429	4275	5667
430	4286	5658
431	4295	5648
432	4303	5635
433	4312	5623
434	4321	5613
435	4329	5601
436	4338	5589
437	4346	5577
438	4356	5567
439	4364	5554
440	4372	5541
441	4379	5529
442	4388	5517
443	4397	5506
444	4405	5494
445	4415	5484
446	4423	5472
447	4431	5460
448	4438	5447
449	4447	5435
450	4455	5423
451	4462	5410
452	4471	5399
453	4479	5387
454	4487	5375
455	4497	5364
456	4505	5353
457	4514	5342
458	4522	5329
459	4530	5318
460	4538	5306
461	4547	5295
462	4555	5283
463	4562	5270
464	4570	5258
465	4578	5246
466	4586	5235
467	4595	5223
468	4604	5212
469	4612	5201
470	4621	5190
471	4628	5177
472	4636	5166
473	4645	5155
474	4653	5143
475	4661	5131
476	4670	5120
477	4678	5108
478	4686	5097
479	4694	5085
480	4703	5074
481	4710	5062
482	4721	5053
483	4729	5042
484	4738	5031
485	4747	5021
486	4755	5009
487	4765	4999
488	4773	4988
489	4782	4977
490	4790	4965
491	4797	4953
492	4806	4942
493	4814	4931
494	4822	4919
495	4830	4907
496	4837	4896
497	4846	4885
498	4853	4873
499	4862	4862
500	4871	4851
501	4879	4840
502	4887	4829
503	4895	4818
504	4904	4807
505	4911	4795
506	4919	4783
507	4927	4772
508	4935	4760
509	4943	4750
510	4952	4739
511	4960	4728
512	4969	4718
513	4978	4707
514	4986	4696
515	4995	4685
516	5005	4676
517	5015	4666
518	5023	4655
519	5032	4645
520	5041	4635
521	5049	4624
522	5058	4613
523	5066	4602
524	5074	4591
525	5082	4580
526	5090	4568
527	5098	4558
528	5106	4547
529	5115	4536
530	5123	4525
531	5132	4514
532	5140	4503
533	5149	4493
534	5157	4483
535	5166	4472
536	5175	4461
537	5183	4451
538	5192	4441
539	5201	4430
540	5209	4420
541	5218	4409
542	5227	4399
543	5235	4388
544	5244	4378
545	5254	4369
546	5274	4368
547	5292	4365
548	5301	4355
549	5309	4344
550	5318	4333
551	5327	4323
552	5335	4312
553	5345	4303
554	5353	4292
555	5361	4281
556	5370	4271
557	5379	4260
558	5387	4250
559	5396	4239
560	5405	4229
561	5414	4219
562	5423	4209
563	5438	4203
564	5446	4193
565	5455	4182
566	5463	4172
567	5471	4161
568	5481	4152
569	5495	4145
570	5509	4139
571	5523	4132
572	5535	4124
573	5544	4114
574	5552	4103
575	5561	4093
576	5569	4082
577	5577	4072
578	5585	4061
579	5594	4050
580	5601	4039
581	5609	4029
582	5618	4018
583	5626	4008
584	5635	3997
585	5642	3986
586	5650	3975
587	5658	3964
588	5665	3953
589	5674	3942
590	5682	3932
591	5690	3921
592	5700	3912
593	5708	3901
594	5716	3891
595	5724	3880
596	5733	3870
597	5742	3860
598	5750	3849
599	5757	3838
600	5765	3827
601	5774	3817
602	5781	3806
603	5789	3795
604	5798	3785
605	5807	3775
606	5816	3765
607	5825	3755
608	5833	3745
609	5842	3735
610	5851	3725
611	5860	3715
612	5869	3705
613	5878	3695
614	5887	3685
615	5896	3675
616	5904	3665
617	5914	3656
618	5923	3646
619	5932	3636
620	5941	3625
621	5951	3616
622	5959	3606
623	5967	3596
624	5977	3586
625	5985	3576
626	5994	3565
627	6002	3555
628	6010	3545
629	6019	3534
630	6027	3524
631	6036	3514
632	6044	3504
633	6053	3494
634	6061	3484
635	6071	3474
636	6079	3464
637	6088	3454
638	6095	3443
639	6105	3434
640	6113	3424
641	6122	3414
642	6131	3404
643	6140	3394
644	6149	3384
645	6157	3374
646	6166	3364
647	6175	3354
648	6184	3344
649	6192	3334
650	6201	3324
651	6211	3315
652	6220	3305
653	6229	3295
654	6238	3285
655	6248	3276
656	6257	3267
657	6266	3257
658	6276	3247
659	6286	3238
660	6295	3228
661	6304	3219
662	6314	3209
663	6323	3199
664	6333	3190
665	6342	3180
666	6351	3170
667	6359	3160
668	6368	3151
669	6377	3141
670	6386	3131
671	6396	3121
672	6406	3112
673	6416	3103
674	6428	3095
675	6440	3087
676	6448	3076
677	6457	3066
678	6468	3057
679	6476	3047
680	6485	3038
681	6495	3028
682	6503	3018
683	6511	3008
684	6519	2998
685	6528	2988
686	6537	2978
687	6545	2968
688	6554	2958
689	6562	2948
690	6571	2938
691	6579	2928
692	6588	2918
693	6597	2908
694	6606	2899
695	6615	2889
696	6624	2879
697	6632	2869
698	6639	2859
699	6648	2849
700	6657	2839
701	6665	2829
702	6676	2820
703	6685	2810
704	6693	2800
705	6701	2790
706	6710	2780
707	6718	2771
708	6727	2761
709	6735	2751
710	6744	2741
711	6752	2731
712	6761	2721
713	6770	2712
714	6779	2702
715	6787	2692
716	6795	2682
717	6803	2672
718	6811	2662
719	6821	2652
720	6830	2643
721	6839	2633
722	6849	2624
723	6859	2614
724	6868	2605
725	6877	2595
726	6885	2585
727	6894	2575
728	6903	2566
729	6912	2556
730	6924	2548
731	6937	2539
732	6950	2531
733	6961	2522
734	6974	2514
735	6986	2505
736	6997	2497
737	7007	2487
738	7018	2478
739	7031	2470
740	7042	2461
741	7053	2452
742	7064	2443
743	7075	2434
744	7086	2425
745	7098	2416
746	7112	2408
747	7123	2399
748	7137	2391
749	7151	2383
750	7161	2374
751	7172	2365
752	7185	2356
753	7195	2347
754	7205	2338
755	7214	2328
756	7223	2318
757	7233	2309
758	7241	2299
759	7249	2289
760	7258	2279
761	7266	2269
762	7274	2259
763	7282	2249
764	7291	2239
765	7299	2229
766	7309	2220
767	7319	2211
768	7332	2202
769	7342	2193
770	7351	2183
771	7361	2173
772	7371	2164
773	7382	2155
774	7391	2145
775	7401	2136
776	7410	2126
777	7420	2117
778	7430	2107
779	7442	2099
780	7452	2089
781	7462	2080
782	7471	2070
783	7481	2061
784	7491	2051
785	7503	2042
786	7512	2033
787	7521	2023
788	7530	2013
789	7541	2004
790	7553	1995
791	7566	1987
792	7577	1978
793	7589	1969
794	7599	1959
795	7608	1949
796	7619	1940
797	7630	1931
798	7642	1922
799	7654	1913
800	7664	1904
801	7673	1894
802	7683	1885
803	7692	1875
804	7702	1865
805	7711	1856
806	7721	1846
807	7729	1836
808	7738	1826
809	7746	1817
810	7754	1807
811	7762	1797
812	7772	1787
813	7780	1777
814	7789	1768
815	7798	1758
816	7807	1748
817	7816	1739
818	7825	1729
819	7834	1719
820	7843	1710
821	7852	1700
822	7861	1690
823	7871	1681
824	7880	1671
825	7888	1661
826	7897	1651
827	7906	1642
828	7914	1632
829	7923	1622
830	7932	1613
831	7940	1603
832	7948	1593
833	7957	1583
834	7965	1574
835	7974	1564
836	7983	1554
837	7992	1545
838	8002	1535
839	8012	1526
840	8022	1516
841	8036	1507
842	8049	1499
843	8058	1489
844	8067	1479
845	8076	1470
846	8085	1460
847	8093	1450
848	8102	1441
849	8110	1431
850	8119	1421
851	8128	1411
852	8136	1402
853	8146	1392
854	8154	1382
855	8162	1373
856	8171	1363
857	8178	1353
858	8193	1344
859	8202	1335
860	8210	1325
861	8219	1315
862	8229	1306
863	8237	1296
864	8246	1287
865	8255	1277
866	8264	1267
867	8273	1258
868	8282	1248
869	8290	1238
870	8299	1229
871	8307	1219
872	8316	1209
873	8325	1200
874	8334	1190
875	8343	1180
876	8351	1171
877	8361	1161
878	8371	1152
879	8385	1143
880	8401	1134
881	8416	1126
882	8431	1117
883	8442	1107
884	8452	1098
885	8462	1088
886	8472	1079
887	8481	1069
888	8492	1060
889	8501	1050
890	8512	1041
891	8521	1031
892	8535	1022
893	8550	1013
894	8565	1004
895	8580	995
896	8595	987
897	8605	977
898	8614	967
899	8626	958
900	8636	948
901	8644	939
902	8653	929
903	8662	919
904	8671	910
905	8680	900
906	8689	891
907	8697	881
908	8706	871
909	8714	861
910	8722	852
911	8731	842
912	8739	832
913	8747	823
914	8756	813
915	8765	803
916	8773	794
917	8781	784
918	8790	774
919	8799	765
920	8807	755
921	8816	745
922	8824	736
923	8833	726
924	8843	717
925	8852	707
926	8861	697
927	8869	688
928	8877	678
929	8887	668
930	8895	659
931	8904	649
932	8913	640
933	8922	630
934	8931	620
935	8939	611
936	8948	601
937	8956	592
938	8964	582
939	8972	572
940	8982	563
941	8990	553
942	8998	543
943	9006	534
944	9014	524
945	9023	515
946	9030	505
947	9039	495
948	9047	486
949	9056	476
950	9064	467
951	9072	457
952	9080	447
953	9089	438
954	9097	428
955	9106	419
956	9116	409
957	9124	400
958	9135	390
959	9143	380
960	9151	371
961	9159	361
962	9168	352
963	9176	342
964	9184	333
965	9194	323
966	9201	314
967	9211	304
968	9219	294
969	9229	285
970	9237	275
971	9246	266
972	9254	256
973	9263	247
974	9272	237
975	9279	228
976	9288	218
977	9297	209
978	9305	199
979	9315	190
980	9324	180
981	9332	171
982	9341	161
983	9350	152
984	9359	142
985	9369	133
986	9379	123
987	9389	114
988	9399	104
989	9409	95
990	9418	85
991	9427	76
992	9437	66
993	9446	57
994	9454	47
995	9464	38
996	9473	28
997	9482	19
998	9492	9
999	9501	0
