iter	Logloss
0	0.5853537154
1	0.5028537308
2	0.4405219822
3	0.3947180188
4	0.3602153355
5	0.3328404365
6	0.3140895479
7	0.298973081
8	0.2875382956
9	0.277662855
10	0.2719964043
11	0.2659482577
12	0.2614100406
13	0.2576441019
14	0.2545376344
15	0.2523986396
16	0.2501658767
17	0.2483908982
18	0.2472327249
19	0.2463133367
20	0.2452220497
21	0.244555573
22	0.2438367134
23	0.2430995826
24	0.2425844001
25	0.2422559484
26	0.2417235599
27	0.2413206874
28	0.2408622529
29	0.2403996244
30	0.2401950648
31	0.2398986878
32	0.2396891998
33	0.2394904838
34	0.2392872639
35	0.2391569275
36	0.2389481062
37	0.2386564637
38	0.2385156253
39	0.2383818285
40	0.238311673
41	0.2381829965
42	0.2380412411
43	0.237856588
44	0.2376930036
45	0.2375887355
46	0.2374280549
47	0.2373386835
48	0.2371788896
49	0.2371312774
50	0.2370683518
51	0.236951629
52	0.2368352291
53	0.2367061412
54	0.2366377801
55	0.2365843545
56	0.2365017188
57	0.2363847173
58	0.2362201903
59	0.2361638655
60	0.2361056372
61	0.2360548319
62	0.2359546105
63	0.2358982449
64	0.2358239165
65	0.2357732809
66	0.235732445
67	0.2357092658
68	0.2356781552
69	0.2355933793
70	0.2355236677
71	0.2354952804
72	0.2354240413
73	0.2353710168
74	0.2352893685
75	0.2352468452
76	0.2352068031
77	0.2351592988
78	0.2351228217
79	0.235069773
80	0.2350280456
81	0.2349894212
82	0.2348914884
83	0.2348542263
84	0.2347563723
85	0.2347140407
86	0.2346535128
87	0.234624578
88	0.2345906366
89	0.2345619148
90	0.2345169164
91	0.2344769608
92	0.2344508245
93	0.2343419423
94	0.2343230456
95	0.2342741553
96	0.234240401
97	0.2342075211
98	0.2341479758
99	0.2340320964
100	0.2339224527
101	0.2338663809
102	0.2338292486
103	0.2337721832
104	0.2336624204
105	0.2336126948
106	0.2335696566
107	0.2335392595
108	0.233500596
109	0.2334609396
110	0.2334337517
111	0.2333635124
112	0.2333362819
113	0.2332947375
114	0.2332451385
115	0.2332302006
116	0.2332125583
117	0.2331925108
118	0.2331553952
119	0.2331156648
120	0.2330812771
121	0.2330408919
122	0.2330021955
123	0.2329393743
124	0.2329043714
125	0.2328702371
126	0.2328416739
127	0.2328027209
128	0.2327709627
129	0.2326974636
130	0.2326306081
131	0.2326006992
132	0.232574987
133	0.2325436049
134	0.2325256802
135	0.2325171885
136	0.2324470563
137	0.2324162408
138	0.232375613
139	0.2323389147
140	0.2323104133
141	0.2322964372
142	0.2322620876
143	0.2322407766
144	0.2321648974
145	0.2321111354
146	0.2320751966
147	0.232042274
148	0.232012081
149	0.2319878248
150	0.2319500701
151	0.2319051562
152	0.2318747301
153	0.231856723
154	0.2318135571
155	0.2317877003
156	0.2317517551
157	0.231698339
158	0.2316489701
159	0.2316168295
160	0.2315958194
161	0.2315637465
162	0.2315266241
163	0.2314841296
164	0.2314643346
165	0.2314413443
166	0.2314257164
167	0.23141249
168	0.2313861092
169	0.2313572466
170	0.2313261141
171	0.2312904798
172	0.2312642384
173	0.2312116045
174	0.2311751026
175	0.2311186826
176	0.2311053729
177	0.2310916036
178	0.2310711774
179	0.2310350686
180	0.2309927777
181	0.2309724912
182	0.2309488916
183	0.2309279541
184	0.2309103918
185	0.2308730586
186	0.2308591669
187	0.230839765
188	0.2308161124
189	0.2307953934
190	0.2307805919
191	0.2307569813
192	0.2307374263
193	0.2307120592
194	0.2307054115
195	0.2306762997
196	0.2306403983
197	0.2306226394
198	0.2306085059
199	0.2305843182
200	0.2305711628
201	0.2305524245
202	0.2305231021
203	0.2304868084
204	0.2304626493
205	0.2304525758
206	0.2304124044
207	0.2303958908
208	0.2303881826
209	0.2303642319
210	0.2303554569
211	0.2303197161
